AWAY,HOME,TIME,TV,TICKETS,LOCATION,ODDS_BY,DATE
Lafayette,@  Texas,3:00 PM,SECN+,Tickets as low as $8,"Moody Center, Austin, TX",,2025-11-08
San Francisco,@  Memphis,3:00 PM,ESPN+,Tickets as low as $15,"FedExForum, Memphis, TN",,2025-11-08
Penn State-New Kensington,@  Mercyhurst,3:00 PM,,,"Mercyhurst Athletic Center, Erie, PA",,2025-11-08
Monmouth,@  La Salle,3:30 PM,ESPN+,Tickets as low as $60,"John Glaser Arena, Philadelphia, PA",,2025-11-08
Spring Hill,@  South Alabama,4:00 PM,ESPN+,,"Mitchell Center, Mobile, AL",,2025-11-08
San José State,@  UC Santa Barbara,4:00 PM,ESPN+,Tickets as low as $36,"The Thunderdome, Santa Barbara, CA",,2025-11-08
Elon,@  UNC Greensboro,4:00 PM,ESPN+,Tickets as low as $25,"First Horizon Coliseum, Greensboro, NC",,2025-11-08
William & Mary,@  Norfolk State,4:00 PM,,,"Joseph G. Echols Hall, Norfolk, VA",,2025-11-08
Vanderbilt,@  UCF,4:00 PM,ESPN+,Tickets as low as $4,"Addition Financial Arena, Orlando, FL",,2025-11-08
UT Arlington,@  New Mexico,4:00 PM,,Tickets as low as $36,"The Pit, Albuquerque, NM",,2025-11-08
Utah Valley,@  Boise State,4:00 PM,,Tickets as low as $11,"ExtraMile Arena, Boise, ID",,2025-11-08
Cal State Fullerton,@  Wyoming,4:00 PM,,Tickets as low as $15,"Arena-Auditorium, Laramie, WY",,2025-11-08
Austin Peay,@  Air Force,4:00 PM,,Tickets as low as $18,"Clune Arena, Colorado Springs, CO",,2025-11-08
Eastern Washington,@  Colorado,4:00 PM,ESPN+,Tickets as low as $10,"CU Events Center, Boulder, CO",,2025-11-08
Providence,@  Virginia Tech,4:00 PM,Peacock,Tickets as low as $61,"Mohegan Sun Arena, Uncasville, CT",,2025-11-08
Montana,@  Stanford,4:00 PM,ACC Extra,Tickets as low as $6,"Maples Pavilion, Stanford, CA",,2025-11-08
Canisius,@  St. Bonaventure,4:00 PM,ESPN+,Tickets as low as $73,"Reilly Center, Saint Bonaventure, NY",,2025-11-08
Southern-New Orleans,@  New Orleans,4:00 PM,ESPN+,Tickets as low as $26,"Lakefront Arena, New Orleans, LA",,2025-11-08
Cheyney (PA),@  Maryland Eastern Shore,4:30 PM,,,"Hytche Center, Princess Anne, MD",,2025-11-08
Averett,@  High Point,5:00 PM,ESPN+,Tickets as low as $58,"Qubein Center, High Point, NC",,2025-11-08
Long Beach State,@  Fresno State,5:00 PM,,Tickets as low as $28,"Save Mart Center, Fresno, CA",,2025-11-08
IU Indianapolis,@  Butler,5:00 PM,ESPN+,Tickets as low as $8,"Hinkle Fieldhouse, Indianapolis, IN",,2025-11-08
Maine,@  Stony Brook,5:00 PM,,Tickets as low as $15,"Stony Brook Arena, Stony Brook, NY",,2025-11-08
UAlbany,@  Massachusetts,6:00 PM,ESPN+,Tickets as low as $14,"Mullins Center, Amherst, MA",,2025-11-08
Florida Atlantic,@  Charleston,6:00 PM,,,"Liberty Arena (VA), Lynchburg, VA",,2025-11-08
East Tennessee State,@  Presbyterian,6:00 PM,ESPN+,Tickets as low as $47,"Templeton Center, Clinton, SC",,2025-11-08
East Carolina,@  Richmond,6:00 PM,ESPN+,Tickets as low as $20,"Robins Center, Richmond, VA",,2025-11-08
14 Arkansas,@  22 Michigan State,7:00 PM,FOX,Tickets as low as $57,"Breslin Center, East Lansing, MI",,2025-11-08
Prairie View A&M,@  Wichita State,7:00 PM,ESPN+,Tickets as low as $35,"Charles Koch Arena, Wichita, KS",,2025-11-08
Queens University,@  Villanova,7:00 PM,ESPN+,Tickets as low as $47,"Finneran Pavilion, Villanova, PA",,2025-11-08
Texas A&M-Corpus Christi,@  Tarleton State,7:00 PM,ESPN+,,"Wisdom Gym, Stephenville, TX",,2025-11-08
Weber State,@  Utah,7:00 PM,ESPN+,Tickets as low as $10,"Jon M. Huntsman Center, Salt Lake City, UT",,2025-11-08
Webster,@  Middle Tennessee,7:30 PM,ESPN+,Tickets as low as $25,"Murphy Center, Murfreesboro, TN",,2025-11-08
John Brown,@  Oral Roberts,8:00 PM,,Tickets as low as $71,"Mabee Center, Tulsa, OK",,2025-11-08
Army,@  St. Thomas-Minnesota,8:00 PM,,,"Lee & Penny Anderson Arena, Saint Paul, MN",,2025-11-08
Central Michigan,@  Bradley,8:00 PM,ESPN+,Tickets as low as $22,"Carver Arena, Peoria, IL",,2025-11-08
Northwestern Oklahoma State,@  Missouri State,8:00 PM,ESPN+,Tickets as low as $45,"Great Southern Bank Arena, Springfield, MO",,2025-11-08
Bellarmine,@  Kansas State,8:00 PM,ESPN+,Tickets as low as $8,"Bramlage Coliseum, Manhattan, KS",,2025-11-08
Tennessee State,@  Belmont,8:00 PM,ESPN+,Tickets as low as $13,"Curb Event Center Arena, Nashville, TN",,2025-11-08
UT Rio Grande Valley,@  Southern Utah,8:30 PM,ESPN+,,"America First Events Center, Cedar City, UT",,2025-11-08
Holy Cross,@  8 BYU,9:00 PM,ESPN+,Tickets as low as $81,"Marriott Center, Provo, UT",,2025-11-08
Arkansas-Pine Bluff,@  Loyola Marymount,9:00 PM,ESPN+,Tickets as low as $10,"Gersten Pavilion, Los Angeles, CA",,2025-11-08
Chattanooga,@  UNLV,9:00 PM,,Tickets as low as $14,"Thomas & Mack Center, Las Vegas, NV",,2025-11-08
Houston Christian,@  UC San Diego,10:00 PM,ESPN+,Tickets as low as $16,"LionTree Arena, San Diego, CA",,2025-11-08
Cal Poly,@  Seattle U,10:00 PM,ESPN+,,"Redhawk Center, Seattle, WA",,2025-11-08
Pacific,@  Nevada,10:00 PM,,Tickets as low as $17,"Lawlor Events Center, Reno, NV",,2025-11-08
Oklahoma,@  21 Gonzaga,10:30 PM,ESPN2,Tickets as low as $63,"Spokane Arena, Spokane, WA",,2025-11-08
New Hampshire,@  Harvard,12:00 PM,ESPN+,Tickets as low as $36,"Lavietes Pavilion, Cambridge, MA",,2025-11-09
Western Michigan,@  Campbell,12:30 PM,,Tickets as low as $28,"John W. Pope Jr. Convocation Center, Buies Creek, NC",,2025-11-09
North Carolina Central,@  App State,1:00 PM,ESPN+,Tickets as low as $52,"Holmes Convocation Center, Boone, NC",,2025-11-09
Indiana,@  Marquette,1:00 PM,ESPN,Tickets as low as $53,"United Center, Chicago, IL",,2025-11-09
Coppin State,@  James Madison,1:00 PM,ESPN+,Tickets as low as $16,"Atlantic Union Bank Center, Harrisonburg, VA",,2025-11-09
Pennsylvania,@  American University,1:00 PM,ESPN+,Tickets as low as $70,"Bender Arena, Washington, DC",,2025-11-09
Morehead State,@  Georgia,2:00 PM,SECN+,Tickets as low as $8,"Stegeman Coliseum, Athens, GA",,2025-11-09
Lipscomb,@  Mercer,2:00 PM,ESPN+,,"Hawkins Arena, Macon, GA",,2025-11-09
Le Moyne,@  Bowling Green,2:00 PM,ESPN+,Tickets as low as $27,"Stroh Center, Bowling Green, OH",,2025-11-09
Dominican (IL),@  Purdue Fort Wayne,2:00 PM,ESPN+,,"Memorial Coliseum (IN), Fort Wayne, IN",,2025-11-09
Cal State Northridge,@  North Dakota,2:00 PM,,Tickets as low as $29,"Betty Engelstad Sioux Center, Grand Forks, ND",,2025-11-09
South Dakota State,@  Northern Iowa,2:00 PM,ESPN+,Tickets as low as $25,"McLeod Center, Cedar Falls, IA",,2025-11-09
Vermont,@  Brown,2:00 PM,ESPN+,,"Pizzitola Sports Center, Providence, RI",,2025-11-09
Marist,@  Dartmouth,2:00 PM,ESPN+,,"Leede Arena, Hanover, NH",,2025-11-09
Texas A&M,@  Oklahoma State,2:00 PM,ESPN2,Tickets as low as $26,"Gallagher-Iba Arena, Stillwater, OK",,2025-11-09
Cornell,@  Illinois State,2:00 PM,ESPN+,,"CEFCU Arena, Normal, IL",,2025-11-09
Ozark Christian,@  South Dakota,2:00 PM,,Tickets as low as $7,"Sanford Coyote Sports Center, Vermillion, SD",,2025-11-09
Lyon,@  Louisiana Tech,3:00 PM,ESPN+,Tickets as low as $11,"Thomas Assembly Center, Ruston, LA",,2025-11-09
Denver,@  Montana State,3:00 PM,ESPN+,Tickets as low as $37,"Worthington Arena, Bozeman, MT",,2025-11-09
Lehigh,@  West Virginia,3:00 PM,ESPN+,Tickets as low as $9,"WVU Coliseum, Morgantown, WV",,2025-11-09
Utah Tech,@  Arizona State,3:00 PM,ESPN+,Tickets as low as $5,"Desert Financial Arena, Tempe, AZ",,2025-11-09
Oakland City,@  Evansville,4:00 PM,ESPN+,Tickets as low as $31,"Ford Center, Evansville, IN",,2025-11-09
VMI,@  Missouri,4:30 PM,SEC Network,Tickets as low as $9,"Mizzou Arena, Columbia, MO",,2025-11-09
North Texas,@  Loyola Chicago,5:00 PM,,Tickets as low as $40,"Now Arena, Hoffman Estates, IL",,2025-11-09
UC Davis,@  Portland,5:00 PM,ESPN+,Tickets as low as $8,"Chiles Center, Portland, OR",,2025-11-09
Idaho State,@  San Diego State,5:00 PM,,Tickets as low as $20,"Viejas Arena, San Diego, CA",,2025-11-09
Grambling,@  Howard,6:00 PM,ESPN+,,"Burr Gymnasium, Washington, DC",,2025-11-09
Florida Atlantic,@  Liberty,6:00 PM,YouTube,Tickets as low as $33,"Liberty Arena (VA), Lynchburg, VA",,2025-11-09
Manhattan,@  USC,6:00 PM,B1G+,Tickets as low as $18,"Galen Center, Los Angeles, CA",,2025-11-09
Omaha,@  Colorado State,6:00 PM,,Tickets as low as $54,"Moby Arena, Fort Collins, CO",,2025-11-09
Southern Miss,@  South Carolina,6:30 PM,SEC Network,Tickets as low as $6,"Colonial Life Arena, Columbia, SC",,2025-11-09
Kentucky Christian,@  UT Martin,7:30 PM,ESPN+,,"Kathleen and Tom Elam Center, Martin, TN",,2025-11-09
Washington,@  Baylor,8:30 PM,ESPN,Tickets as low as $29,"Foster Pavilion, Waco, TX",,2025-11-09
East Texas A&M,@  Hawai'i,1:00 AM,ESPN+,Tickets as low as $25,"Stan Sheriff Center, Honolulu, HI",,2025-11-09
Molloy,@  Hofstra,11:30 AM,,Tickets as low as $40,"David S. Mack Sports and Exhibition Complex, Hempstead, NY",,2025-11-10
Ripon,@  Green Bay,12:00 PM,ESPN+,Tickets as low as $61,"Resch Center, Ashwaubenon, WI",,2025-11-10
Reinhardt,@  Jacksonville State,12:00 PM,ESPN+,,"Pete Mathews Coliseum, Jacksonville, AL",,2025-11-10
Ecclesia,@  Southern,12:00 PM,,,"F.G. Clark Activity Center, Baton Rouge, LA",,2025-11-10
New Haven,@  UMass Lowell,6:00 PM,ESPN+,Tickets as low as $15,"Kennedy Family Athletic Complex, Lowell, MA",,2025-11-10
Columbia,@  4 UConn,6:30 PM,FS1,Tickets as low as $7,"Gampel Pavilion, Storrs, CT",,2025-11-10
Columbia International,@  Furman,6:30 PM,ESPN+,Tickets as low as $28,"Timmons Arena, Greenville, SC",,2025-11-10
Penn State-Shenango,@  Youngstown State,6:30 PM,ESPN+,,"Beeghly Center, Youngstown, OH",,2025-11-10
Maine,@  Rutgers,6:30 PM,BTN,Tickets as low as $11,"Jersey Mike’s Arena, Piscataway, NJ",,2025-11-10
Delaware State,@  Niagara,6:30 PM,ESPN+,Tickets as low as $24,"Gallagher Center, Niagara Falls, NY",,2025-11-10
Indiana State,@  SIU Edwardsville,7:00 PM,ESPN+,,"First Community Arena, Edwardsville, IL",,2025-11-10
South Carolina State,@  North Carolina A&T,7:00 PM,,,"Corbett Sports Center, Greensboro, NC",,2025-11-10
North Greenville,@  Gardner-Webb,7:00 PM,ESPN+,Tickets as low as $47,"Paul Porter Arena, Boiling Springs, NC",,2025-11-10
Presbyterian,@  Georgia State,7:00 PM,ESPN+,,"GSU Convocation Center, Atlanta, GA",,2025-11-10
Virginia-Lynchburg,@  Tennessee Tech,7:00 PM,ESPN+,,"Hooper Eblen Center, Cookeville, TN",,2025-11-10
Geneva,@  Robert Morris,7:00 PM,ESPN+,Tickets as low as $9,"UPMC Events Center, Moon Township, PA",,2025-11-10
Western Kentucky,@  Eastern Kentucky,7:00 PM,ESPN+,,"Baptist Health Arena, Richmond, KY",,2025-11-10
Fairfield,@  Seton Hall,7:00 PM,ESPN+,Tickets as low as $103,"Walsh Gymnasium, South Orange, NJ",,2025-11-10
UNC Wilmington,@  Kent State,7:00 PM,ESPN+,Tickets as low as $10,"M.A.C. Center, Kent, OH",,2025-11-10
Charleston Southern,@  The Citadel,7:00 PM,ESPN+,Tickets as low as $32,"McAlister Field House, Charleston, SC",,2025-11-10
Eastern Michigan,@  Pittsburgh,7:00 PM,ACC Extra,Tickets as low as $9,"Petersen Events Center, Pittsburgh, PA",,2025-11-10
Stetson,@  Miami,7:00 PM,ACC Network,Tickets as low as $5,"Watsco Center, Coral Gables, FL",,2025-11-10
Rust,@  UL Monroe,7:30 PM,ESPN+,,"Fant-Ewing Coliseum, Monroe, LA",,2025-11-10
College Of Biblical Studies,@  McNeese,7:30 PM,,,"Townsley Law Arena, Lake Charles, LA",,2025-11-10
Simpson College (IA),@  Drake,7:30 PM,ESPN+,Tickets as low as $14,"Knapp Center, Des Moines, IA",,2025-11-10
Mississippi State,@  16 Iowa State,8:00 PM,ESPNU,Tickets as low as $36,"Sanford Pentagon, Sioux Falls, SD",,2025-11-10
Arlington Baptist,@  UT Arlington,8:00 PM,ESPN+,,"College Park Center, Arlington, TX",,2025-11-10
Little Rock,@  Milwaukee,8:00 PM,ESPN+,Tickets as low as $10,"UW-Milwaukee Panther Arena, Milwaukee, WI",,2025-11-10
Lindenwood,@  Saint Louis,8:00 PM,ESPN+,Tickets as low as $7,"Chaifetz Arena, St. Louis, MO",,2025-11-10
Lamar,@  TCU,8:00 PM,ESPN+,Tickets as low as $11,"Schollmaier Arena, Fort Worth, TX",,2025-11-10
New Orleans,@  LSU,8:00 PM,SECN+,Tickets as low as $5,"Pete Maravich Assembly Center, Baton Rouge, LA",,2025-11-10
Cleveland State,@  Northwestern,8:30 PM,BTN,Tickets as low as $6,"Welsh-Ryan Arena, Evanston, IL",,2025-11-10
Santa Clara,@  Xavier,8:30 PM,FS1,Tickets as low as $8,"Cintas Center, Cincinnati, OH",,2025-11-10
Northern Illinois,@  Grand Canyon,9:00 PM,,Tickets as low as $8,"Global Credit Union Arena, Phoenix, AZ",,2025-11-10
Holy Cross,@  Utah,9:00 PM,ESPN+,Tickets as low as $8,"Jon M. Huntsman Center, Salt Lake City, UT",,2025-11-10
SE Louisiana,@  Georgia Tech,9:00 PM,ACC Network,Tickets as low as $9,"McCamish Pavilion, Atlanta, GA",,2025-11-10
St. Thomas-Minnesota,@  Washington State,9:30 PM,ESPN+,Tickets as low as $20,"Beasley Coliseum, Pullman, WA",,2025-11-10
West Georgia,@  12 UCLA,10:00 PM,B1G+,Tickets as low as $6,"Pauley Pavilion, Los Angeles, CA",,2025-11-10
Lincoln University (CA),@  UC Irvine,10:00 PM,ESPN+,,"Bren Events Center, Irvine, CA",,2025-11-10
Cal State Fullerton,@  California,10:00 PM,ACC Extra,Tickets as low as $15,"Haas Pavilion, Berkeley, CA",,2025-11-10
IU Columbus,@  IU Indianapolis,11:00 AM,ESPN+,Tickets as low as $33,"The Jungle, Indianapolis, IN",,2025-11-11
Iona,@  Kansas City,1:30 PM,,,"Swinney Center, Kansas City, MO",,2025-11-11
Southwestern Adventist,@  Abilene Christian,4:00 PM,ESPN+,,"Moody Coliseum (Abilene), Abilene, TX",,2025-11-11
Long Island University,@  Air Force,4:00 PM,,Tickets as low as $13,"Clune Arena, Colorado Springs, CO",,2025-11-11
Southwestern Christian,@  Incarnate Word,6:00 PM,ESPN+,Tickets as low as $14,"McDermott Center, San Antonio, TX",,2025-11-11
Coastal Georgia,@  Bethune-Cookman,6:00 PM,,Tickets as low as $54,"Moore Gymnasium (FL), Daytona Beach, FL",,2025-11-11
UMBC,@  Morgan State,6:00 PM,,Tickets as low as $58,"Hill Field House, Baltimore, MD",,2025-11-11
Wake Forest,@  7 Michigan,6:30 PM,FS1,Tickets as low as $20,"Little Caesars Arena, Detroit, MI",,2025-11-11
SUNY Delhi,@  UAlbany,6:30 PM,,Tickets as low as $45,"Broadview Center, Albany, NY",,2025-11-11
Saint Josephs Long Island,@  Stony Brook,6:30 PM,,Tickets as low as $15,"Stony Brook Arena, Stony Brook, NY",,2025-11-11
App State,@  Ohio State,6:30 PM,B1G+,Tickets as low as $6,"Value City Arena, Columbus, OH",,2025-11-11
Lipscomb,@  UNC Asheville,6:30 PM,ESPN+,,"Kimmel Arena, Asheville, NC",,2025-11-11
Navy,@  Penn State,6:30 PM,BTN,Tickets as low as $7,"Bryce Jordan Center, University Park, PA",,2025-11-11
Florida State,@  3 Florida,7:00 PM,SEC Network,Tickets as low as $32,"Stephen C. O'Connell Center, Gainesville, FL",,2025-11-11
6 Duke,@  Army,7:00 PM,CBSSN,Tickets as low as $82,"Christl Arena, West Point, NY",,2025-11-11
Radford,@  25 North Carolina,7:00 PM,ACC Network,Tickets as low as $17,"Dean E. Smith Center, Chapel Hill, NC",,2025-11-11
Norfolk State,@  Old Dominion,7:00 PM,ESPN+,Tickets as low as $69,"Chartway Arena, Norfolk, VA",,2025-11-11
Drexel,@  Colgate,7:00 PM,ESPN+,Tickets as low as $28,"Cotterell Court, Hamilton, NY",,2025-11-11
Alcorn State,@  Maryland,7:00 PM,B1G+,Tickets as low as $5,"XFINITY Center, College Park, MD",,2025-11-11
Pensacola Christian College,@  Troy,7:00 PM,ESPN+,Tickets as low as $11,"Trojan Arena, Troy, AL",,2025-11-11
Winthrop,@  Coastal Carolina,7:00 PM,ESPN+,Tickets as low as $32,"The HTC Center, Conway, SC",,2025-11-11
Catawba,@  George Mason,7:00 PM,ESPN+,Tickets as low as $9,"EagleBank Arena, Fairfax, VA",,2025-11-11
Florida A&M,@  UCF,7:00 PM,ESPN+,Tickets as low as $6,"Addition Financial Arena, Orlando, FL",,2025-11-11
Sacred Heart,@  Villanova,7:00 PM,ESPN+,Tickets as low as $62,"Finneran Pavilion, Villanova, PA",,2025-11-11
Northwestern State,@  North Alabama,7:00 PM,ESPN+,Tickets as low as $40,"Flowers Hall, Florence, AL",,2025-11-11
Toledo,@  Wright State,7:00 PM,ESPN+,Tickets as low as $24,"Nutter Center, Dayton, OH",,2025-11-11
Cleary University,@  Detroit Mercy,7:00 PM,ESPN+,,"Calihan Hall, Detroit, MI",,2025-11-11
Jacksonville,@  High Point,7:00 PM,ESPN+,Tickets as low as $42,"Qubein Center, High Point, NC",,2025-11-11
Georgia Southern,@  Florida Gulf Coast,7:00 PM,ESPN+,Tickets as low as $28,"Alico Arena, Fort Myers, FL",,2025-11-11
La Salle,@  Temple,7:00 PM,ESPN+,Tickets as low as $20,"Liacouras Center, Philadelphia, PA",,2025-11-11
Wagner,@  Fordham,7:00 PM,ESPN+,Tickets as low as $5,"Rose Hill Gym, Bronx, NY",,2025-11-11
Chicago State,@  Butler,7:00 PM,ESPN+,Tickets as low as $7,"Hinkle Fieldhouse, Indianapolis, IN",,2025-11-11
Davidson,@  Charlotte,7:00 PM,ESPN+,Tickets as low as $28,"Halton Arena, Charlotte, NC",,2025-11-11
NJIT,@  Loyola Maryland,7:00 PM,ESPN+,,"Reitz Arena, Baltimore, MD",,2025-11-11
William & Mary,@  Richmond,7:00 PM,ESPN+,Tickets as low as $20,"Robins Center, Richmond, VA",,2025-11-11
Stonehill,@  Rhode Island,7:00 PM,ESPN+,Tickets as low as $11,"Thomas M. Ryan Center, Kingston, RI",,2025-11-11
Dayton,@  Cincinnati,7:00 PM,ESPN+,Tickets as low as $19,"Fifth Third Arena, Cincinnati, OH",,2025-11-11
Morehead State,@  Clemson,7:00 PM,ACC Extra,Tickets as low as $8,"Littlejohn Coliseum, Clemson, SC",,2025-11-11
Central Connecticut,@  Boston College,7:00 PM,,Tickets as low as $5,"Conte Forum, Chestnut Hill, MA",,2025-11-11
Northeastern,@  Harvard,7:00 PM,ESPN+,Tickets as low as $15,"Lavietes Pavilion, Cambridge, MA",,2025-11-11
Pennsylvania,@  Providence,7:00 PM,ESPN+,Tickets as low as $10,"Amica Mutual Pavilion, Providence, RI",,2025-11-11
Mount St. Mary's,@  Saint Francis,7:00 PM,,,"DeGol Arena, Loretto, PA",,2025-11-11
Bucknell,@  Princeton,7:00 PM,ESPN+,Tickets as low as $24,"Jadwin Gymnasium, Princeton, NJ",,2025-11-11
Wilson College,@  Towson,7:30 PM,,Tickets as low as $35,"SECU Arena, Towson, MD",,2025-11-11
Alabama State,@  UAB,7:30 PM,ESPN+,Tickets as low as $21,"Bartow Arena, Birmingham, AL",,2025-11-11
Yale,@  Quinnipiac,7:30 PM,ESPN+,,"M&T Bank Arena, Hamden, CT",,2025-11-11
Eastern Illinois,@  Notre Dame,7:30 PM,ACC Extra,Tickets as low as $7,"Purcell Pavilion, South Bend, IN",,2025-11-11
9 Kentucky,@  11 Louisville,8:00 PM,ESPN,Tickets as low as $97,"KFC Yum! Center, Louisville, KY",,2025-11-11
Central Arkansas,@  14 Arkansas,8:00 PM,SECN+,Tickets as low as $14,"Bud Walton Arena, Fayetteville, AR",,2025-11-11
Texas A&M-Corpus Christi,@  19 Kansas,8:00 PM,ESPN+,Tickets as low as $7,"Allen Fieldhouse, Lawrence, KS",,2025-11-11
Wofford,@  20 Auburn,8:00 PM,SECN+,Tickets as low as $45,"Neville Arena, Auburn, AL",,2025-11-11
Mayville St,@  North Dakota,8:00 PM,,Tickets as low as $29,"Betty Engelstad Sioux Center, Grand Forks, ND",,2025-11-11
Oakwood,@  Tennessee State,8:00 PM,ESPN+,,"Gentry Center, Nashville, TN",,2025-11-11
St. Francis (IL),@  UIC,8:00 PM,ESPN+,Tickets as low as $35,"Credit Union 1 Arena, Chicago, IL",,2025-11-11
Merrimack,@  Tarleton State,8:00 PM,ESPN+,,"Wisdom Gym, Stephenville, TX",,2025-11-11
Tulane,@  Louisiana,8:00 PM,ESPN+,Tickets as low as $32,"Cajundome, Lafayette, LA",,2025-11-11
Stephen F. Austin,@  Rice,8:00 PM,ESPN+,Tickets as low as $24,"Tudor Fieldhouse, Houston, TX",,2025-11-11
Arkansas-Pine Bluff,@  Oklahoma,8:00 PM,SECN+,Tickets as low as $77,"Howard McCasland Field House, Norman, OK",,2025-11-11
Buffalo,@  DePaul,8:00 PM,ESPN+,Tickets as low as $4,"Wintrust Arena, Chicago, IL",,2025-11-11
Arkansas State,@  Missouri State,8:00 PM,ESPN+,Tickets as low as $35,"Great Southern Bank Arena, Springfield, MO",,2025-11-11
Cal State Northridge,@  North Dakota State,8:00 PM,,Tickets as low as $15,"Scheels Center, Fargo, ND",,2025-11-11
Maryland Eastern Shore,@  Nebraska,8:00 PM,B1G+,Tickets as low as $6,"Pinnacle Bank Arena, Lincoln, NE",,2025-11-11
Murray State,@  SMU,8:00 PM,ACC Extra,Tickets as low as $5,"Moody Coliseum (Dallas), Dallas, TX",,2025-11-11
Queens University,@  Duquesne,8:00 PM,ESPN+,Tickets as low as $23,"UPMC Cooper Fieldhouse, Pittsburgh, PA",,2025-11-11
10 Texas Tech,@  17 Illinois,8:30 PM,FS1,Tickets as low as $39,"State Farm Center, Champaign, IL",,2025-11-11
Ball State,@  24 Wisconsin,8:30 PM,BTN,Tickets as low as $5,"Kohl Center, Madison, WI",,2025-11-11
Austin Peay,@  Wyoming,8:30 PM,,Tickets as low as $13,"Arena-Auditorium, Laramie, WY",,2025-11-11
Bethesda University,@  Southern Utah,8:30 PM,,,"America First Events Center, Cedar City, UT",,2025-11-11
Delaware,@  8 BYU,9:00 PM,CBSSN,Tickets as low as $54,"Marriott Center, Provo, UT",,2025-11-11
Northern Arizona,@  13 Arizona,9:00 PM,ESPN+,Tickets as low as $10,"McKale Memorial Center, Tucson, AZ",,2025-11-11
Memphis,@  Ole Miss,9:00 PM,SEC Network,Tickets as low as $30,"The Sandy and John Black Pavilion at Ole Miss, Oxford, MS",,2025-11-11
UC Riverside,@  New Mexico,9:00 PM,,Tickets as low as $21,"The Pit, Albuquerque, NM",,2025-11-11
Lincoln University (CA),@  Pepperdine,9:00 PM,ESPN+,Tickets as low as $44,"Firestone Fieldhouse, Malibu, CA",,2025-11-11
Loyola Marymount,@  UTEP,9:00 PM,,Tickets as low as $8,"Don Haskins Center, El Paso, TX",,2025-11-11
UT Rio Grande Valley,@  Boise State,9:00 PM,,Tickets as low as $8,"ExtraMile Arena, Boise, ID",,2025-11-11
Hampton,@  Virginia,9:00 PM,ACC Network,Tickets as low as $4,"John Paul Jones Arena, Charlottesville, VA",,2025-11-11
New Mexico Highlands,@  New Mexico State,9:30 PM,ESPN+,Tickets as low as $24,"Pan American Center, Las Cruces, NM",,2025-11-11
Western Illinois,@  Cal State Bakersfield,9:30 PM,ESPN+,Tickets as low as $28,"Icardo Center, Bakersfield, CA",,2025-11-11
